GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EmployeeManagementSystem-MATC,com.ems.dao,EmployeeDao,439,0,34,0,112,0,30,0,13,0
EmployeeManagementSystem-MATC,com.ems.controller,AuthController,179,0,7,0,36,0,12,0,8,0
EmployeeManagementSystem-MATC,com.ems.controller,EmployeeController,302,4,0,0,84,1,12,1,12,1
EmployeeManagementSystem-MATC,com.ems.aspect,CommonJoinPointConfig,4,0,0,0,2,0,2,0,2,0
EmployeeManagementSystem-MATC,com.ems.aspect,MethodExecutionCalculationAspect,24,0,0,0,7,0,3,0,3,0
EmployeeManagementSystem-MATC,com.ems.service,EmployeeService,286,32,0,0,75,12,9,4,9,4
EmployeeManagementSystem-MATC,com.ems.base.response,ResponseError,171,0,30,0,8,0,28,0,13,0
EmployeeManagementSystem-MATC,com.ems.base.response,ResponseInterceptor,32,0,6,0,9,0,7,0,4,0
EmployeeManagementSystem-MATC,com.ems.base.response,ResponseError.ResponseErrorBuilder,36,0,0,0,1,0,6,0,6,0
EmployeeManagementSystem-MATC,com.ems.base.response,ResponseExceptionInterceptor,216,0,2,0,45,0,10,0,9,0
EmployeeManagementSystem-MATC,com.ems.base.response,Response.ResponseBuilder,102,0,6,0,1,0,13,0,10,0
EmployeeManagementSystem-MATC,com.ems.base.response,Response,270,72,56,0,2,10,36,16,8,16
EmployeeManagementSystem-MATC,com.ems.dto,PersonDTO,205,30,46,0,0,6,31,7,8,7
EmployeeManagementSystem-MATC,com.ems.dto,AdminUpdateEmployeeDTO,92,23,22,0,0,3,14,6,3,6
EmployeeManagementSystem-MATC,com.ems.dto,AddressDTO,216,59,54,0,0,7,30,14,3,14
EmployeeManagementSystem-MATC,com.ems.dto,MessageDisplayDTO,67,14,14,0,1,3,11,4,4,4
EmployeeManagementSystem-MATC,com.ems.dto,GetEmployeeDTO,112,12,22,0,3,2,19,2,8,2
EmployeeManagementSystem-MATC,com.ems.dto,JwtResponseDTO,55,0,0,0,22,0,11,0,11,0
EmployeeManagementSystem-MATC,com.ems.dto,SignupRequestDTO,4,20,0,0,2,8,1,6,1,6
EmployeeManagementSystem-MATC,com.ems.dto,LoginRequestDTO,0,17,0,0,0,7,0,5,0,5
EmployeeManagementSystem-MATC,com.ems.dto,EmployeeDTO,336,0,62,0,9,0,50,0,19,0
EmployeeManagementSystem-MATC,com.ems.base.exception,BusinessException,19,0,0,0,8,0,4,0,4,0
EmployeeManagementSystem-MATC,com.ems.base.exception,BaseErrorCodes,86,0,0,0,12,0,4,0,4,0
EmployeeManagementSystem-MATC,com.ems.base.exception,TechnicalException,19,0,0,0,8,0,4,0,4,0
EmployeeManagementSystem-MATC,com.ems.base.exception,BaseException,74,0,4,0,25,0,11,0,9,0
EmployeeManagementSystem-MATC,com.ems.security,UserDetailsServiceImpl,21,0,0,0,4,0,3,0,3,0
EmployeeManagementSystem-MATC,com.ems.security,UserDetailsImpl,85,0,6,0,23,0,15,0,12,0
EmployeeManagementSystem-MATC,com.ems.security,AuthTokenFilter,110,0,8,0,27,0,8,0,4,0
EmployeeManagementSystem-MATC,com.ems.security,JwtUtils,127,0,0,0,30,0,6,0,6,0
EmployeeManagementSystem-MATC,com.ems.security,AuthEntryPointJwt,55,0,0,0,13,0,3,0,3,0
EmployeeManagementSystem-MATC,com.ems.model.sub,Role,23,0,0,0,11,0,6,0,6,0
EmployeeManagementSystem-MATC,com.ems.model.sub,LoginLog,222,0,38,0,7,0,33,0,14,0
EmployeeManagementSystem-MATC,com.ems.model.sub,User,22,28,0,0,8,11,3,7,3,7
EmployeeManagementSystem-MATC,com.ems.model.sub,AuthenticationLog,308,0,54,0,9,0,45,0,18,0
EmployeeManagementSystem-MATC,com.ems,EMSApp,15,0,0,0,5,0,3,0,3,0
EmployeeManagementSystem-MATC,com.ems.model,Address,278,61,62,0,1,9,42,9,11,9
EmployeeManagementSystem-MATC,com.ems.model,Employee,313,112,78,0,0,12,43,20,4,20
EmployeeManagementSystem-MATC,com.ems.model,Person,208,45,46,0,1,7,32,7,9,7
EmployeeManagementSystem-MATC,com.ems.validation,EmployeeValidator,59,0,8,0,11,0,7,0,3,0
EmployeeManagementSystem-MATC,com.ems.base.config,MessangeConfig,22,0,0,0,7,0,3,0,3,0
EmployeeManagementSystem-MATC,com.ems.base.config,SecurityConfig,53,0,0,0,11,0,6,0,6,0
EmployeeManagementSystem-MATC,com.ems.base.config,SwaggerConfig,50,0,0,0,8,0,5,0,5,0
EmployeeManagementSystem-MATC,com.ems.base.config,JaegerConfig,32,0,0,0,8,0,3,0,3,0
EmployeeManagementSystem-MATC,com.ems.customdt,AddressType,0,15,0,0,0,2,0,1,0,1
EmployeeManagementSystem-MATC,com.ems.customdt,EmployeePosition,0,93,0,0,0,3,0,1,0,1
EmployeeManagementSystem-MATC,com.ems.customdt,AuthRole,15,0,0,0,3,0,1,0,1,0
EmployeeManagementSystem-MATC,com.ems.customdt,Achievement,0,33,0,0,0,2,0,1,0,1
EmployeeManagementSystem-MATC,com.ems.customdt,MaritalStatus,0,15,0,0,0,2,0,1,0,1
EmployeeManagementSystem-MATC,com.ems.customdt,Gender,0,15,0,0,0,2,0,1,0,1
